table_name,column_name,data_type,character_maximum_length,is_nullable,column_default
artikli,id,integer,,NO,nextval('artikli_id_seq'::regclass)
artikli,ime,text,,NO,
artikli,opis,text,,YES,
artikli,cena,numeric,,NO,
artikli,davek,numeric,,NO,9.5
artikli,aktiven,boolean,,NO,true
artikli,kategorija_id,integer,,YES,
artikli,barva,text,,YES,
artikli,vrstni_red,integer,,NO,0
artikli,nabavni_artikel,boolean,,NO,false
artikli,prodajni_artikel,boolean,,NO,true
artikli,ime_za_nabavo,text,,YES,
artikli,enota_mere,text,,YES,
artikli,podjetje_davcna,text,,NO,''::text
artikli,je_pica,boolean,,NO,false
artikli,enota_id,integer,,NO,1
artikli,je_dodatek_za_pico,boolean,,NO,false
artikli,privzeti_dodatki,json,,NO,'[]'::json
artikli,je_modifikator,boolean,,NO,false
artikli,privzeti_modifikatorji,json,,NO,'[]'::json
artikli,to_go_artikli,json,,NO,'[]'::json
artikli,to_go,boolean,,NO,false
artikli_modifikatorske_skupine,artikel_id,integer,,NO,
artikli_modifikatorske_skupine,skupina_id,integer,,NO,
artikli_modifikatorske_skupine,vrstni_red,integer,,NO,0
blagajne,id,integer,,NO,nextval('blagajne_id_seq'::regclass)
blagajne,podjetje_davcna,text,,NO,''::text
blagajne,pp_id,text,,NO,
blagajne,b_id,text,,NO,
blagajne,ime,text,,NO,
blagajne,aktivna,boolean,,NO,true
blagajne,ustvarjeno,timestamp with time zone,,NO,now()
dnevni_meni,id,integer,,NO,nextval('dnevni_meni_id_seq'::regclass)
dnevni_meni,podjetje_davcna,text,,NO,''::text
dnevni_meni,enota_id,integer,,NO,1
dnevni_meni,datum,date,,NO,
dnevni_meni,artikel_id,integer,,NO,
dnevni_meni,modifikator_id,integer,,NO,
enote,id,integer,,NO,nextval('enote_id_seq'::regclass)
enote,podjetje_davcna,text,,NO,''::text
enote,ime,text,,NO,'Enota 1'::text
enote,aktiven,boolean,,NO,true
enote,ustvarjeno,timestamp with time zone,,NO,now()
enote,opis,text,,YES,
enote,zacetek_dneva_ura,text,,NO,'04:00'::text
glasovni_sinonimi,id,integer,,NO,nextval('glasovni_sinonimi_id_seq'::regclass)
glasovni_sinonimi,podjetje_davcna,text,,NO,''::text
glasovni_sinonimi,beseda,text,,NO,
glasovni_sinonimi,alias,text,,NO,
glasovni_sinonimi,ustvarjeno,timestamp with time zone,,NO,now()
inventure,id,integer,,NO,nextval('inventure_id_seq'::regclass)
inventure,datum,timestamp without time zone,,NO,now()
inventure,opomba,text,,YES,
inventure,ustvarjeno,timestamp without time zone,,NO,now()
inventure,stevilka,text,,YES,
inventure,podjetje_davcna,text,,NO,''::text
inventure,enota_id,integer,,NO,1
inventure_postavke,id,integer,,NO,nextval('inventure_postavke_id_seq'::regclass)
inventure_postavke,inventura_id,integer,,NO,
inventure_postavke,artikel_id,integer,,NO,
inventure_postavke,stevilo_najdeno,numeric,,NO,
inventure_postavke,stevilo_prejsnje,numeric,,NO,'0'::numeric
inventure_postavke,razlika,numeric,,NO,'0'::numeric
inventure_postavke,cena_kos,numeric,,NO,'0'::numeric
izmene,id,integer,,NO,nextval('izmene_id_seq'::regclass)
izmene,natakari_id,integer,,NO,
izmene,zacetek,timestamp with time zone,,NO,now()
izmene,konec,timestamp with time zone,,YES,
izmene,skupaj_znesek,numeric,,NO,'0'::numeric
izmene,stevilo_racunov,integer,,NO,0
izmene,podjetje_davcna,text,,NO,''::text
izmene,enota_id,integer,,NO,1
kategorije,id,integer,,NO,nextval('kategorije_id_seq'::regclass)
kategorije,ime,text,,NO,
kategorije,barva,text,,NO,'#6366f1'::text
kategorije,vrstni_red,integer,,NO,0
kategorije,tip,text,,YES,
kategorije,podjetje_davcna,text,,NO,''::text
kategorije,enota_id,integer,,NO,1
kategorije,dnevno_filtriranje,boolean,,NO,false
mize,id,integer,,NO,nextval('mize_id_seq'::regclass)
mize,stevilka,integer,,NO,
mize,ime,text,,YES,
mize,kapaciteta,integer,,NO,4
mize,status,text,,NO,'prosta'::text
mize,podjetje_davcna,text,,NO,''::text
mize,prostor_id,integer,,YES,
mize,enota_id,integer,,NO,1
modifikator_normativi,id,integer,,NO,nextval('modifikator_normativi_id_seq'::regclass)
modifikator_normativi,modifikator_id,integer,,NO,
modifikator_normativi,vhodni_artikel_id,integer,,NO,
modifikator_normativi,kolicina,numeric,,NO,
modifikator_normativi,vrstni_red,integer,,NO,0
